HDR,ROLLING SYSTEM DEMAND
VD,20210207000000,25411
VD,20210207000500,25508
VD,20210207001000,25513
VD,20210207001500,25470
VD,20210207002000,25425
VD,20210207002500,25414
VD,20210207003000,25550
VD,20210207003500,25732
VD,20210207004000,25991
VD,20210207004500,26153
VD,20210207005000,26128
VD,20210207005500,26046
VD,20210207010000,26125
VD,20210207010500,26399
VD,20210207011000,26452
VD,20210207011500,26315
VD,20210207012000,26120
VD,20210207012500,26012
VD,20210207013000,25895
VD,20210207013500,25885
VD,20210207014000,25860
VD,20210207014500,25791
VD,20210207015000,25729
VD,20210207015500,25640
VD,20210207020000,25527
VD,20210207020500,25450
VD,20210207021000,25426
VD,20210207021500,25326
VD,20210207022000,25161
VD,20210207022500,24994
VD,20210207023000,24876
VD,20210207023500,25145
VD,20210207024000,25322
VD,20210207024500,25361
VD,20210207025000,25357
VD,20210207025500,25239
VD,20210207030000,25136
VD,20210207030500,25251
VD,20210207031000,25156
VD,20210207031500,25051
VD,20210207032000,25130
VD,20210207032500,25190
VD,20210207033000,25133
VD,20210207033500,25006
VD,20210207034000,24854
VD,20210207034500,24782
VD,20210207035000,24780
VD,20210207035500,24743
VD,20210207040000,24681
VD,20210207040500,24458
VD,20210207041000,24437
VD,20210207041500,24435
VD,20210207042000,24402
VD,20210207042500,24282
VD,20210207043000,24218
VD,20210207043500,24235
VD,20210207044000,24241
VD,20210207044500,24218
VD,20210207045000,24148
VD,20210207045500,24102
VD,20210207050000,24204
VD,20210207050500,24464
VD,20210207051000,24556
VD,20210207051500,24572
VD,20210207052000,24559
VD,20210207052500,24533
VD,20210207053000,24538
VD,20210207053500,24579
VD,20210207054000,24597
VD,20210207054500,24549
VD,20210207055000,24583
VD,20210207055500,24649
VD,20210207060000,24689
VD,20210207060500,24752
VD,20210207061000,24886
VD,20210207061500,24920
VD,20210207062000,24912
VD,20210207062500,24951
VD,20210207063000,25086
VD,20210207063500,25255
VD,20210207064000,25284
VD,20210207064500,25410
VD,20210207065000,25558
VD,20210207065500,25595
VD,20210207070000,25628
VD,20210207070500,25762
VD,20210207071000,25757
VD,20210207071500,25876
VD,20210207072000,25969
VD,20210207072500,26098
VD,20210207073000,26113
VD,20210207073500,25986
VD,20210207074000,26141
VD,20210207074500,26316
VD,20210207075000,26304
VD,20210207075500,26347
VD,20210207080000,26498
VD,20210207080500,26813
VD,20210207081000,26812
VD,20210207081500,26892
VD,20210207082000,27092
VD,20210207082500,27175
VD,20210207083000,27309
VD,20210207083500,27661
VD,20210207084000,27899
VD,20210207084500,28090
VD,20210207085000,28311
VD,20210207085500,28689
VD,20210207090000,28977
VD,20210207090500,29530
VD,20210207091000,29704
VD,20210207091500,29751
VD,20210207092000,30061
VD,20210207092500,30393
VD,20210207093000,30480
VD,20210207093500,30617
VD,20210207094000,31015
VD,20210207094500,31126
VD,20210207095000,31309
VD,20210207095500,31658
VD,20210207100000,31844
VD,20210207100500,31985
VD,20210207101000,32030
VD,20210207101500,32167
VD,20210207102000,32319
VD,20210207102500,32379
VD,20210207103000,32549
VD,20210207103500,32824
VD,20210207104000,32899
VD,20210207104500,33031
VD,20210207105000,33145
VD,20210207105500,33263
VD,20210207110000,33222
VD,20210207110500,33423
VD,20210207111000,33420
VD,20210207111500,33519
VD,20210207112000,33780
VD,20210207112500,33971
VD,20210207113000,34127
VD,20210207113500,34158
VD,20210207114000,34213
VD,20210207114500,34421
VD,20210207115000,34624
VD,20210207115500,34756
VD,20210207120000,34836
VD,20210207120500,34999
VD,20210207121000,35173
VD,20210207121500,35385
VD,20210207122000,35489
VD,20210207122500,35559
VD,20210207123000,35658
VD,20210207123500,35801
VD,20210207124000,35727
VD,20210207124500,35810
VD,20210207125000,35825
VD,20210207125500,35896
VD,20210207130000,36031
VD,20210207130500,35980
VD,20210207131000,36000
VD,20210207131500,36034
VD,20210207132000,35994
VD,20210207132500,36045
VD,20210207133000,36063
VD,20210207133500,35974
VD,20210207134000,35939
VD,20210207134500,35830
VD,20210207135000,35802
VD,20210207135500,35789
VD,20210207140000,35773
VD,20210207140500,35941
VD,20210207141000,35949
VD,20210207141500,35899
VD,20210207142000,35929
VD,20210207142500,35984
VD,20210207143000,36076
VD,20210207143500,36061
VD,20210207144000,36036
VD,20210207144500,36050
VD,20210207145000,36131
VD,20210207145500,36272
VD,20210207150000,36363
VD,20210207150500,36572
VD,20210207151000,36611
VD,20210207151500,36691
VD,20210207152000,36825
VD,20210207152500,36850
VD,20210207153000,36982
VD,20210207153500,37058
VD,20210207154000,37191
VD,20210207154500,37412
VD,20210207155000,37754
